Issue ID,Issue Type,Summary,Description,Priority,Story Points,Parent ID,Epic Name,Sprint,Assignee Role,Depends On,Estimate Hours,Acceptance Criteria,Definition of Done,Labels,Related Endpoints
E1,Epic,Auth Roles and Firm Access,"Establish the platform security foundation for LexIA, including authentication, session management, numeric role enforcement, firm membership boundaries, password recovery, user administration, and auditable access-sharing behavior. This epic ensures that only authorized users can enter the system and only within the scope permitted by their role and firm context.",P0,13,,Auth Roles and Firm Access,Sprint 1,Backend Developer,,,"Successful login and protected access paths exist for each business role.","Role model, auth flows, and authorization rules are implemented and testable.","mvp,auth,rbac","POST /auth/register, POST /auth/login, POST /auth/refresh, POST /auth/password-recovery, POST /auth/password-reset, GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}, POST /cases/{id}/share, GET /cases/{id}/share"
E2,Epic,Case and History Management,"Implement the core expediente domain, including case creation, ownership, lifecycle management, controlled visibility, and preserved operational history. This epic defines how legal matters are created, updated, transitioned, and later inspected without losing traceability.",P0,13,,Case and History Management,Sprint 1,Flutter Developer 1,E1,,,"Users can create, view, update, close, archive, and inspect history for their cases.","Case CRUD and timeline behavior work end to end.","mvp,cases,history","GET /cases, POST /cases, GET /cases/{id}, PATCH /cases/{id}, GET /cases/{id}/history"
E3,Epic,Document Intake and Knowledge Base,"Implement the document pipeline that receives case files, validates and stores them, preserves versions, runs OCR or extraction where needed, and transforms content into searchable case knowledge. This epic is responsible for converting uploaded evidence into a reliable retrieval layer while preserving strict case isolation.",P0,21,,Document Intake and Knowledge Base,Sprint 1,AI Engineer,E2,,,"Supported documents become searchable case knowledge with visible processing states.","Upload to indexed knowledge flow works with auditability.","mvp,documents,ocr,rag","POST /cases/{id}/documents, GET /cases/{id}/documents"
E4,Epic,Verified RAG Analysis and Chat,"Implement the retrieval-augmented generation capabilities for legal analysis and chat, with hard enforcement that every released answer is grounded in verifiable case and corpus citations. This epic covers retrieval, citation verification, generation control, persistence, and failure handling when evidence is insufficient or unverifiable.",P0,21,,Verified RAG Analysis and Chat,Sprint 2,AI Engineer,E3,,,"All AI outputs are grounded and blocked when citations are not verifiable.","Analysis and chat release only validated grounded responses.","mvp,ai,rag,chat","POST /cases/{id}/analyses, GET /cases/{id}/analyses/{analysis_id}, POST /chat/conversations, GET /chat/conversations/{id}, POST /chat/conversations/{id}/messages, PATCH /chat/conversations/{id}"
E5,Epic,Drafting and Export,"Implement the drafting and export layer that transforms verified legal context into editable documents such as tutela and derecho de peticion, and packages outputs into PDF or DOCX with the required metadata and disclaimers. This epic bridges AI-assisted generation with user-controlled editing and formal output delivery.",P1,13,,Drafting and Export,Sprint 2,Flutter Developer 2,E4,,,"Legal drafts are editable and exports include required metadata and disclaimer.","Draft generation and export work end to end.","mvp,drafting,export","POST /cases/{id}/drafts/tutela, POST /cases/{id}/drafts/derecho-de-peticion, PATCH /drafts/{id}, POST /analyses/{id}/export, POST /drafts/{id}/export"
E6,Epic,QA Audit and Release Readiness,"Implement the final hardening layer for the MVP, covering regression coverage, auditability validation, release criteria, and pilot readiness checks across all critical workflows. This epic ensures the product can be evaluated, tested, and released with confidence rather than only functionally demonstrated.",P0,8,,QA Audit and Release Readiness,Sprint 2,QA Engineer,E1|E2|E3|E4|E5,,,"Critical user flows, ACL checks, and release gates are validated before pilot launch.","Regression suite, test data, and release checklist are complete.","mvp,qa,release,audit","Cross-cutting: auth, users, cases, documents, analyses, chat, drafts, export, history endpoints"
S1,Story,Workspace Authentication and Isolation,"Implement the base authentication flow for platform users, including credential validation, session issuance, and tenant-safe authorization boundaries. This story covers register, login, refresh, status-based access checks, and the guarantee that users only see their own workspace or explicitly granted data.",P0,5,E1,,Sprint 1,Backend Developer,,,"Given valid credentials, when I log in, then I receive a valid session. Given invalid credentials, when I log in, then access is denied. Given status = false, when a user tries to log in, then access is denied. Given another user's case, when I try to access it without permission, then I receive 403.","Auth endpoints, session management, status checks, and authorization tests are complete.","auth,rbac","POST /auth/register, POST /auth/login, POST /auth/refresh"
S2,Story,Firm Admin Case Sharing,"Implement the authorization flow that lets a firm admin share a case with another permitted user while preserving auditability and firm boundaries. The story includes access-grant creation, permission-level storage, denial rules for unauthorized actors, and traceability of who granted access and when.",P0,5,E1,,Sprint 1,Backend Developer,S1,,,"Given a firm admin, when access is granted, then the grant is stored. Given a non-admin, when trying to share, then the request is denied. Given a grant, when access is used, then the event is auditable.","Sharing API, permission model, and audit entries are implemented.","sharing,acl,audit","POST /cases/{id}/share, GET /cases/{id}/share"
S15,Story,Password Recovery and Reset,"Implement a secure password recovery flow that allows users to regain access without exposing whether an email is registered. This story includes token generation, expiration rules, single-use enforcement, password reset validation, and a response model that avoids user enumeration.",P0,3,E1,,Sprint 1,Backend Developer,S1,,,"Given a registered email, when I request recovery, then the system responds without exposing whether the email exists. Given a valid recovery token, when I submit a new password, then the password is updated. Given an invalid or expired token, when I try to reset, then the request is rejected.","Password recovery and reset endpoints are implemented with token expiry, single use, and tests.","auth,recovery,security","POST /auth/password-recovery, POST /auth/password-reset"
S16,Story,User Administration and Firm Membership,"Implement administrative user management for super admins and firm admins, covering user creation, listing, update, deactivation, and firm assignment. This story aligns the platform with the current contract where role_id is numeric from 1 to 3, status is boolean, password_hash is internal only, and visibility is restricted by tenant and firm scope.",P0,5,E1,,Sprint 1,Backend Developer,S1,,,"Given an authorized admin, when creating a user, then role_id accepts only values 1 to 3 and status is stored as boolean. Given a user list request, when filters are applied, then users are returned within the visible tenant or firm boundary. Given a deactivation request, when applied, then the user loses access without deleting audit history.","User CRUD endpoints, visibility rules, and deactivation flow are implemented and testable.","users,firms,rbac,admin","GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}"
